Evento,Escenario,Bytes/s,Paquetes/s,Temp,Duración,Cluster_k2,Cluster_k3
168,Estrés,-0.1130241566022699,-0.0681400182008454,-0.7249048043496344,0.0,0,0
169,Estrés,-0.1129429482888746,-0.0681400182008454,-0.383547515529047,0.0,0,0
170,Estrés,-0.1134166634503474,-0.0683407633781433,1.6645962173949629,0.0,0,2
171,Estrés,-0.1134653884383846,-0.0683407633781433,0.6405243509329579,0.0,0,2
172,Estrés,-0.1134464398319257,-0.0683407633781433,1.323238928574254,0.0,0,2
173,Estrés,-0.1134816301010636,-0.0683407633781433,0.9818816397535454,0.0,0,2
174,Estrés,-0.1135601314706791,-0.0683407633781433,-0.7249048043496344,0.0,0,0
175,Estrés,-0.1134491467757055,-0.0683407633781433,0.6405243509329579,0.0,0,2
176,Estrés,-0.1139039133307194,-0.0685415085554412,-0.383547515529047,0.0,0,0
177,Estrés,-0.1135114064826419,-0.0683407633781433,0.6405243509329579,0.0,0,2
178,Estrés,-0.1132786093175753,-0.0683407633781433,0.9818816397535454,0.0,0,2
179,Estrés,-0.1132163496106389,-0.0679392730235475,0.2991670621122492,0.0,0,2
180,Estrés,-0.1131703315663815,-0.0683407633781433,-1.4076193819909306,0.0,0,0
181,Estrés,-0.1130647607589676,-0.0681400182008454,-1.7489766708116394,0.0,0,0
182,Estrés,-0.1138822577804806,-0.0685415085554412,1.6645962173949629,0.0,0,2
183,Estrés,-0.1133733523498699,-0.0683407633781433,0.9818816397535454,0.0,0,2
184,Estrés,-0.1132623676548962,-0.0683407633781433,-1.4076193819909306,0.0,0,0
185,Estrés,-0.1133137995867133,-0.0683407633781433,-0.383547515529047,0.0,0,0
186,Estrés,-0.113527648145321,-0.0683407633781433,-1.7489766708116394,0.0,0,0
187,Estrés,-0.1134978717637427,-0.0683407633781433,0.9818816397535454,0.0,0,2
188,Estrés,-0.1131567968474823,-0.0681400182008454,1.6645962173949629,0.0,0,2
189,Estrés,-0.1134464398319257,-0.0683407633781433,1.323238928574254,0.0,0,2
190,Estrés,-0.1134789231572838,-0.0683407633781433,-1.0662620931703433,0.0,0,0
191,Estrés,-0.113822705017324,-0.0685415085554412,0.9818816397535454,0.0,0,2
192,Estrés,-0.1134085426190078,-0.0683407633781433,-0.0421902267083382,0.0,0,0
193,Estrés,-0.1134193703941272,-0.0683407633781433,1.323238928574254,0.0,0,2
194,Estrés,-0.1133544037434109,-0.0683407633781433,-0.383547515529047,0.0,0,0
195,Estrés,-0.1128969302446172,-0.0681400182008454,-0.0421902267083382,0.0,0,0
196,Estrés,-0.1125287858905584,-0.0679392730235475,-1.4076193819909306,0.0,0,0
197,Estrés,-0.1128644469192591,-0.0681400182008454,-0.0421902267083382,0.0,0,0
198,Estrés,-0.1132948509802544,-0.0683407633781433,-1.4076193819909306,0.0,0,0
199,Estrés,-0.1133029718115939,-0.0683407633781433,1.6645962173949629,0.0,0,2
200,Estrés,-0.1130295704898296,-0.0681400182008454,0.6405243509329579,0.0,0,2
201,Estrés,-0.1128400844252405,-0.0681400182008454,-1.4076193819909306,0.0,0,0
202,Estrés,-0.1123744900951073,-0.0679392730235475,0.6405243509329579,0.0,0,2
203,Estrés,-0.1129862593893521,-0.0681400182008454,0.9818816397535454,0.0,0,2
204,Estrés,-0.1123582484324282,-0.0679392730235475,1.6645962173949629,0.0,0,2
205,Estrés,-0.1130025010520312,-0.0681400182008454,-0.0421902267083382,0.0,0,0
206,Estrés,-0.1123555414886483,-0.0679392730235475,-0.7249048043496344,0.0,0,0
207,Estrés,-0.1124746470149615,-0.0679392730235475,-0.383547515529047,0.0,0,0
208,Estrés,-0.1122580915125739,-0.0679392730235475,0.6405243509329579,0.0,0,2
209,Estrés,-0.1130106218833707,-0.0681400182008454,-0.383547515529047,0.0,0,0
210,Estrés,-0.1123771970388871,-0.0679392730235475,-1.4076193819909306,0.0,0,0
211,Estrés,-0.1124259220269243,-0.0679392730235475,0.9818816397535454,0.0,0,2
212,Estrés,-0.11284820525658,-0.0681400182008454,-1.4076193819909306,0.0,0,0
213,Estrés,-0.1124394567458235,-0.0679392730235475,-0.7249048043496344,0.0,0,0
